"id","bom_id/id","product_id","product_qty_formula","product_uom"
"mrp.template_single_sliding_door_line1","mrp.template_single_sliding_door","[SP05007]","((14+line.W)>914 and (14+line.W)<=1219) and (line.mat_inside_skin_choices.code=='OW') and (line.mat_outside_skin_choices.code=='OW') and (1219*line.L/1000000*3.75*2) or 0.0","kg"
"mrp.template_single_sliding_door_line2","mrp.template_single_sliding_door","[SP05007]","((14+line.W)>1219) and (line.mat_inside_skin_choices.code=='OW') and (line.mat_outside_skin_choices.code=='OW') and (1219*line.L/1000000*3.75*4) or 0.0","kg"
"mrp.template_single_sliding_door_line3","mrp.template_single_sliding_door","[SP05009]","((14+line.W)>914 and (14+line.W)<=1219) and (line.mat_inside_skin_choices.code=='AW') and (line.mat_outside_skin_choices.code=='AW') and (1219*line.L/1000000*3.4*2) or 0.0","kg"
"mrp.template_single_sliding_door_line4","mrp.template_single_sliding_door","[SP05009]","((14+line.W)>1219) and (line.mat_inside_skin_choices.code=='AW') and (line.mat_outside_skin_choices.code=='AW') and (1219*line.L/1000000*3.4*4) or 0.0","kg"
"mrp.template_single_sliding_door_line5","mrp.template_single_sliding_door","[SP05018]","((14+line.W)<=1219) and (line.mat_inside_skin_choices.code=='GI') and (line.mat_outside_skin_choices.code=='GI') and (1219*line.L/1000000*3.2*2) or 0.0","kg"
"mrp.template_single_sliding_door_line6","mrp.template_single_sliding_door","[SP05018]","((14+line.W)>1219) and (line.mat_inside_skin_choices.code=='GI') and (line.mat_outside_skin_choices.code=='GI') and (1219*line.L/1000000*3.2*4) or 0.0","kg"
"mrp.template_single_sliding_door_line7","mrp.template_single_sliding_door","[SP05013]","((14+line.W)>914 and (14+line.W)<=1219) and (line.mat_inside_skin_choices.code=='SS') and (line.mat_outside_skin_choices.code=='SS') and (1219*line.L/1000000*3.9*2) or 0.0","kg"
"mrp.template_single_sliding_door_line8","mrp.template_single_sliding_door","[SP05013]","((14+line.W)>1219) and (line.mat_inside_skin_choices.code=='SS') and (line.mat_outside_skin_choices.code=='SS') and (1219*line.L/1000000*3.9*4) or 0.0","kg"
"mrp.template_single_sliding_door_line9","mrp.template_single_sliding_door","[SP05002]","(line.mat_insulation_choices.code == 'PU') and ((line.W*line.L*line.T.value/1000000000*80*0.437*1.13)-(line.cut_area*line.T.value*80*0.437*1.13/1000)) or 0.0","kg"
"mrp.template_single_sliding_door_line10","mrp.template_single_sliding_door","[SP05003]","(line.mat_insulation_choices.code == 'PU') and ((line.W*line.L*line.T.value/1000000000*80*0.563*1.13)-(line.cut_area*line.T.value*80*0.563*1.13/1000)) or 0.0","kg"
"mrp.template_single_sliding_door_line11","mrp.template_single_sliding_door","[SP01006]","(round((line.W+(line.L*2)/1000/6)+0.5,0)) or 0.0","pcs"
"mrp.template_single_sliding_door_line12","mrp.template_single_sliding_door","[SP01102]","(round((line.W+(line.L*2)/1000/6)+0.5,0)) or 0.0","pcs"
"mrp.template_single_sliding_door_line13","mrp.template_single_sliding_door","[SP02071]","(line.mat_window_choices.code == 'None') and 0 or 0.0","pcs"
"mrp.template_single_sliding_door_line14","mrp.template_single_sliding_door","[SP02071]","(line.mat_window_choices.code == 'Single') and 1 or 0.0","pcs"
"mrp.template_single_sliding_door_line15","mrp.template_single_sliding_door","[SP02071]","(line.mat_window_choices.code == 'Double') and 2 or 0.0","pcs"
"mrp.template_single_sliding_door_line16","mrp.template_single_sliding_door","[SP01019]","(round(((line.L*2)/1000/6)+0.5,0)) or 0.0","pcs"
"mrp.template_single_sliding_door_line17","mrp.template_single_sliding_door","[SP01023]","(round((line.W/1000/6)+0.5,0)) or 0.0","pcs"
"mrp.template_single_sliding_door_line18","mrp.template_single_sliding_door","[SP01027]","(round((line.W/1000/6)+0.5,0)) or 0.0","pcs"
"mrp.template_single_sliding_door_line19","mrp.template_single_sliding_door","[SP01059]","(round(((line.W*2)+2/100/6)+0.5,0)) or 0.0","pcs"
"mrp.template_single_sliding_door_line20","mrp.template_single_sliding_door","[SP01277]","(round((line.L/1000/6)+0.5,0)) or 0.0","pcs"
"mrp.template_single_sliding_door_line21","mrp.template_single_sliding_door","[SP01011]","(round(((line.W*2)+2/100/6)+0.5,0)) or 0.0","pcs"
"mrp.template_single_sliding_door_line22","mrp.template_single_sliding_door","[SP01155]","(round(((line.W*2)+2/100/6)+0.5,0)) or 0.0","pcs"
"mrp.template_single_sliding_door_line23","mrp.template_single_sliding_door","[SP02034]","(2) or 0.0","set"
"mrp.template_single_sliding_door_line24","mrp.template_single_sliding_door","[SP02083]","(1) or 0.0","pcs"
"mrp.template_single_sliding_door_line25","mrp.template_single_sliding_door","[SP02107]","(1) or 0.0","pcs"
"mrp.template_single_sliding_door_line26","mrp.template_single_sliding_door","[SP03045]","(2) or 0.0","pcs"
"mrp.template_single_sliding_door_line27","mrp.template_single_sliding_door","[SP03032]","(1) or 0.0","pcs"
"mrp.template_single_sliding_door_line28","mrp.template_single_sliding_door","[SP03007]","(line.mat_inside_skin_choices.code=='SS') and (line.mat_outside_skin_choices.code=='SS') and (line.L/1000/200*2) or 0.0","roll"
"mrp.template_single_sliding_door_line29","mrp.template_single_sliding_door","[SP03006]","(line.mat_inside_skin_choices.code=='OW') and (line.mat_outside_skin_choices.code=='OW') and (line.L/1000/200*2) or 0.0","roll"
"mrp.template_single_sliding_door_line30","mrp.template_single_sliding_door","[SP03006]","(line.mat_inside_skin_choices.code=='AW') and (line.mat_outside_skin_choices.code=='AW') and (line.L/1000/200*2) or 0.0","roll"
